회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류)
(주)대양금속,009190,2011/12,24,제조업
(주)대양금속,009190,2012/12,24,제조업
(주)대양금속,009190,2013/12,24,제조업
(주)대양금속,009190,2014/12,24,제조업
(주)대양금속,009190,2015/12,24,제조업
(주)대양금속,009190,2016/12,24,제조업
(주)대양금속,009190,2017/12,24,제조업
(주)대양금속,009190,2018/12,24,제조업
(주)대양금속,009190,2019/12,24,제조업
(주)대양금속,009190,2020/12,24,제조업
(주)대양금속,009190,2021/12,24,제조업
(주)대우건설,047040,2011/12,41,건설업
(주)대우건설,047040,2012/12,41,건설업
(주)대우건설,047040,2013/12,41,건설업
(주)대우건설,047040,2014/12,41,건설업
(주)대우건설,047040,2015/12,41,건설업
(주)대우건설,047040,2016/12,41,건설업
(주)대우건설,047040,2017/12,41,건설업
(주)대우건설,047040,2018/12,41,건설업
(주)대우건설,047040,2019/12,41,건설업
(주)대우건설,047040,2020/12,41,건설업
(주)대우건설,047040,2021/12,41,건설업
(주)대웅,003090,2011/12,21,제조업
(주)대웅,003090,2012/12,21,제조업
(주)대웅,003090,2013/12,21,제조업
(주)대웅,003090,2014/12,21,제조업
(주)대웅,003090,2015/12,21,제조업
(주)대웅,003090,2016/12,21,제조업
(주)대웅,003090,2017/12,21,제조업
(주)대웅,003090,2018/12,21,제조업
(주)대웅,003090,2019/12,21,제조업
(주)대웅,003090,2020/12,21,제조업
(주)대웅,003090,2021/12,21,제조업
(주)대웅제약,069620,2011/12,21,제조업
(주)대웅제약,069620,2012/12,21,제조업
(주)대웅제약,069620,2013/12,21,제조업
(주)대웅제약,069620,2014/12,21,제조업
(주)대웅제약,069620,2015/12,21,제조업
